#Parameters = {focal_length=2280; feed_offset=400; feed_position=2680; flare_diameter_variation=445}
#"Theta / deg"	"Realized Gain,Phi=0.0_f=1 (feed_offset=400) [Real Part]"
#-----------------------------------------------------------------------
118.00000000000	-19.805225925301
119.00000000000	-20.050832311128
120.00000000000	-20.314064416597
121.00000000000	-20.740070098811
122.00000000000	-21.385210758866
123.00000000000	-22.167728216129
124.00000000000	-22.877287662018
125.00000000000	-23.341801688488
126.00000000000	-23.634743092299
127.00000000000	-23.954949726298
128.00000000000	-24.327453870875
129.00000000000	-24.612072906832
130.00000000000	-24.870355573941
131.00000000000	-25.476416024888
132.00000000000	-26.666020666291
133.00000000000	-27.907085061645
134.00000000000	-28.053720127010
135.00000000000	-27.414648448764
136.00000000000	-27.008944245292
137.00000000000	-26.976400517793
138.00000000000	-27.322016217353
139.00000000000	-28.390867646736
140.00000000000	-29.702947491186
141.00000000000	-29.240523203570
142.00000000000	-28.177540357366
143.00000000000	-28.680472032310
144.00000000000	-30.316755892750
145.00000000000	-30.417076116845
146.00000000000	-29.947966416251
147.00000000000	-30.196032569869
148.00000000000	-29.001265751608
149.00000000000	-27.821858276398
150.00000000000	-28.831962447715
151.00000000000	-30.832238275781
152.00000000000	-31.246347430039
153.00000000000	-34.109093349545
154.00000000000	-35.323850182673
155.00000000000	-29.236913764467
156.00000000000	-28.389142606147
157.00000000000	-30.876617548430
158.00000000000	-29.980523025237
159.00000000000	-30.082540037229
160.00000000000	-40.147605899811
161.00000000000	-33.191567924687
162.00000000000	-28.235614751546
163.00000000000	-27.188451747100
164.00000000000	-25.777272904195
165.00000000000	-26.979913217016
166.00000000000	-37.423767588662
167.00000000000	-32.459962382387
168.00000000000	-29.536423074582
169.00000000000	-28.412778483982
170.00000000000	-23.920386495370
171.00000000000	-24.476235609769
172.00000000000	-33.659508399483
173.00000000000	-31.346044839881
174.00000000000	-33.396197574193
175.00000000000	-23.221972837489
176.00000000000	-18.599899885686
177.00000000000	-22.455265236430
178.00000000000	-20.656615042226
179.00000000000	-11.719420822828
180.00000000000	-9.5212322552091
